iteration,MSE_train,MSE_validation,MSE_test,acc_train,acc_validation,acc_test,seconds_elapsed
0,0.203771108429,0.189158443492,0.201168711485,0.49377593361,0.513812154696,0.503225806452,0.331161453
10,0.202416613995,0.187777827436,0.200159721562,0.489626556017,0.513812154696,0.498064516129,3.345722816
20,0.202135104568,0.18686664343,0.199240367415,0.493084370678,0.522099447514,0.498064516129,6.399431964
30,0.20181240164,0.186546168557,0.198945431529,0.493084370678,0.519337016575,0.49935483871,9.385821796
40,0.201051666937,0.185946511875,0.198056082432,0.494467496542,0.519337016575,0.49935483871,12.486567191
50,0.199868267592,0.185466049531,0.197452391858,0.496542185339,0.519337016575,0.49935483871,15.597958829
60,0.198869269501,0.184211940712,0.196386419699,0.505532503458,0.519337016575,0.513548387097,18.626660203
70,0.198457337945,0.183789395392,0.195925016344,0.505532503458,0.524861878453,0.510967741935,21.632535745
80,0.196762274553,0.182119844451,0.194298053568,0.507607192254,0.530386740331,0.512258064516,24.668521521
90,0.195011818445,0.180237349745,0.192522067941,0.508298755187,0.53591160221,0.513548387097,27.680572682
100,0.193875332189,0.178979817765,0.191315684935,0.507607192254,0.53591160221,0.514838709677,30.710887757
110,0.192734994863,0.178566095167,0.190703348841,0.51244813278,0.538674033149,0.517419354839,33.747646225
120,0.191150068123,0.177038872327,0.189129287418,0.513831258645,0.538674033149,0.52,36.791854786
130,0.191805895701,0.17785848767,0.189973538808,0.513139695712,0.541436464088,0.517419354839,39.792454785
140,0.189201935918,0.175515692242,0.18765876892,0.520746887967,0.538674033149,0.518709677419,42.829923897
150,0.188845804264,0.175301237482,0.187413119916,0.519363762102,0.538674033149,0.514838709677,45.855160933
160,0.18655905331,0.17284036716,0.184855735102,0.525587828492,0.546961325967,0.523870967742,48.873445718
170,0.185310634824,0.172052198921,0.183956886949,0.529737206086,0.549723756906,0.523870967742,51.926272259
180,0.184705677364,0.171197381134,0.183402028027,0.528354080221,0.549723756906,0.529032258065,54.943543906
190,0.181580704376,0.167946429099,0.180070834206,0.538035961272,0.558011049724,0.538064516129,57.917510146
200,0.180955127358,0.167229251183,0.179458708179,0.540802213001,0.558011049724,0.54064516129,61.090345502
210,0.181135175157,0.167508633457,0.179608506072,0.540802213001,0.555248618785,0.535483870968,64.126028938
220,0.17930779553,0.165590647743,0.177438498502,0.546334716459,0.563535911602,0.54064516129,67.099394982
230,0.178366229952,0.164462935696,0.176521811034,0.546334716459,0.563535911602,0.543225806452,70.114512988
