iteration,bp_msetrain,bp_msevalid,bp_msetest,bp_acctrain,bp_accvalid,bp_acctest,bp_time,rhc_msetrain,rhc_msevalid,rhc_msetest,rhc_acctrain,rhc_accvalid,rhc_acctest,rhc_time,sa_msetrain,sa_msevalid,sa_msetest,sa_acctrain,sa_accvalid,sa_acctest,sa_time,ga_msetrain,ga_msevalid,ga_msetest,ga_acctrain,ga_accvalid,ga_acctest,ga_time
0,0.171219233986,0.157869655025,0.161995165684,0.649377593361,0.674033149171,0.665806451613,1.107001291,0.208694984726,0.207915690318,0.195250217329,0.522821576763,0.5,0.545806451613,0.425739978,0.12023204899,0.120075396031,0.123853563071,0.68948824343,0.701657458564,0.686451612903,0.335478159,0.260419349586,0.264096224719,0.25192359374,0.363070539419,0.353591160221,0.369032258065,5.324084893
10,0.0197395619341,0.0414747020264,0.0360527196718,0.952973720609,0.908839779006,0.923870967742,17.46636623,0.208404965241,0.207627645227,0.194992177982,0.521438450899,0.5,0.545806451613,8.546432082,0.120255139134,0.120319421339,0.123996929523,0.688105117566,0.693370165746,0.683870967742,3.665310228,0.119400948989,0.129458545251,0.136050186338,0.697095435685,0.682320441989,0.658064516129,61.441435604
20,0.00531210296833,0.0429975768013,0.040711320451,0.986860304288,0.906077348066,0.907096774194,31.849094942,0.208120146866,0.207335932165,0.194790635382,0.521438450899,0.502762430939,0.547096774194,15.123055165,0.120887160419,0.121603926784,0.124747628821,0.686721991701,0.693370165746,0.682580645161,7.017268994,0.0784424844897,0.0779861226224,0.0784801355679,0.815352697095,0.812154696133,0.809032258065,116.350871425
30,0.00281927342076,0.0449272100066,0.0424118864859,0.992392807746,0.897790055249,0.907096774194,47.973684964,0.207088220682,0.205948871029,0.194061984004,0.523513139696,0.519337016575,0.544516129032,19.270046037,0.120393298983,0.120494434597,0.123840613698,0.686721991701,0.696132596685,0.682580645161,10.286140794,0.0700447390799,0.0814721098217,0.0828472098464,0.820885200553,0.790055248619,0.792258064516,170.617644736
40,0.00159028914157,0.0459526157085,0.043713049177,0.995159059474,0.895027624309,0.89935483871,64.38041126,0.206287651035,0.205226067762,0.193393503686,0.523513139696,0.524861878453,0.544516129032,22.52172239,0.120290504766,0.120399886118,0.123716865541,0.686721991701,0.696132596685,0.683870967742,13.447477881,0.0629977111266,0.0699913883645,0.0712747967241,0.843015214385,0.834254143646,0.824516129032,223.04534075
50,0.000799532317386,0.045670763321,0.0427545368505,0.997925311203,0.895027624309,0.901935483871,79.921690501,0.205015437318,0.204336929016,0.191583703127,0.521438450899,0.513812154696,0.545806451613,25.628016989,0.119909163247,0.119824572795,0.123042293181,0.688105117566,0.693370165746,0.685161290323,16.568095969,0.0633068679835,0.0706276858322,0.0716337286264,0.843015214385,0.828729281768,0.82064516129,277.581914404
60,0.000521643485358,0.0448145002326,0.0410902586677,1.0,0.903314917127,0.905806451613,94.463013091,0.203947427793,0.203253662095,0.190573639511,0.528354080221,0.522099447514,0.548387096774,30.293935752,0.119453938612,0.119590467042,0.122589840522,0.68948824343,0.693370165746,0.689032258065,19.829670631,0.0633060959188,0.0703473988659,0.0715743766406,0.844398340249,0.831491712707,0.821935483871,332.62784761
70,0.000260845305936,0.0446587665832,0.0407059984195,1.0,0.895027624309,0.908387096774,109.395725073,0.203451296302,0.202925326563,0.190387654355,0.53112033195,0.527624309392,0.548387096774,33.53065062,0.119551904894,0.119786435747,0.1227503242,0.688796680498,0.693370165746,0.687741935484,23.050314455,0.063236883694,0.0700858988163,0.0717113774339,0.843706777317,0.834254143646,0.823225806452,388.293408249
80,0.000165781066727,0.0425806243121,0.0412741824153,1.0,0.903314917127,0.908387096774,124.530241061,0.201995429705,0.202389680328,0.189508777257,0.535961272476,0.527624309392,0.550967741935,41.022473578,0.118865350377,0.119012344071,0.121688504084,0.690871369295,0.693370165746,0.687741935484,27.888418008,0.0628567475365,0.0700085568909,0.071066304803,0.844398340249,0.834254143646,0.821935483871,442.161207333
90,7.31442434279e-05,0.0426577717814,0.0420015456717,1.0,0.903314917127,0.904516129032,139.395598067,0.201260238333,0.201349872138,0.189258397592,0.53734439834,0.527624309392,0.557419354839,45.423331511,0.118415856545,0.118538347948,0.121241397246,0.692946058091,0.693370165746,0.689032258065,34.697600449,0.0632836589555,0.0706362696702,0.0718968003868,0.840248962656,0.828729281768,0.823225806452,498.730833483
