iteration,MSE_train,MSE_validation,MSE_test,acc_train,acc_validation,acc_test,seconds_elapsed
0,0.113438433705,0.116748651388,0.112824290741,0.681189488243,0.657458563536,0.691612903226,5.785269975
10,0.0858490186503,0.0904032475895,0.088246707748,0.749654218534,0.732044198895,0.731612903226,65.304286167
20,0.0779154618305,0.0811044504868,0.0815919682874,0.787690179806,0.776243093923,0.781935483871,124.293753866
30,0.0739360123605,0.077519910623,0.0775682784446,0.800829875519,0.798342541436,0.8,182.162222389
40,0.0744399822684,0.0780698360655,0.078240278011,0.79806362379,0.798342541436,0.8,240.037797518
50,0.0738214178328,0.0774739538042,0.0777076696038,0.800829875519,0.798342541436,0.8,298.699182862
60,0.0700155888064,0.075677204259,0.0757981428708,0.802904564315,0.801104972376,0.8,358.2644611
70,0.0695722509545,0.0754621256738,0.0754136873208,0.807053941909,0.806629834254,0.801290322581,414.97829107
80,0.0703184691254,0.0759048448147,0.0762198268385,0.803596127248,0.801104972376,0.798709677419,470.632779619
90,0.0705531533526,0.0754818615721,0.075440282165,0.811894882434,0.809392265193,0.803870967742,526.734521835
100,0.0747329966629,0.0782068284958,0.0786122044848,0.794605809129,0.795580110497,0.793548387097,585.115292685
110,0.0706641485627,0.076101610636,0.0766649171781,0.800138312586,0.801104972376,0.798709677419,641.377281171
120,0.0695766802683,0.0753744871959,0.0755397600668,0.803596127248,0.803867403315,0.801290322581,697.926171623
130,0.0694907474322,0.0745526335294,0.0753208489079,0.805670816044,0.803867403315,0.803870967742,755.188994896
140,0.0697619100302,0.0754204648437,0.0758833672574,0.805670816044,0.801104972376,0.801290322581,812.394707709
150,0.0705455560789,0.0762950987665,0.0764881741652,0.801521438451,0.801104972376,0.798709677419,869.918939679
160,0.0711341809573,0.0769187122823,0.0769283415828,0.799446749654,0.803867403315,0.796129032258,925.272675543
170,0.0710176719939,0.0759238843721,0.0762379778563,0.798755186722,0.801104972376,0.797419354839,982.195905416
180,0.0683721257904,0.074810624034,0.0739691420414,0.809820193638,0.801104972376,0.802580645161,1038.47333797
190,0.0701869111702,0.0757274185978,0.0759786248819,0.80428769018,0.806629834254,0.8,1093.56636469
200,0.0680984925408,0.0747375536851,0.0734988064525,0.81051175657,0.801104972376,0.805161290323,1150.15155451
210,0.0684613317078,0.0747903366147,0.0740484512683,0.809820193638,0.798342541436,0.801290322581,1206.4988242
220,0.0684759268532,0.0748618946072,0.0754560258229,0.817427385892,0.803867403315,0.789677419355,1263.86030725
230,0.0699636223866,0.0758451187842,0.0757802474394,0.805670816044,0.801104972376,0.801290322581,1320.56827366
240,0.0698463759409,0.0763457938007,0.0753955476782,0.804979253112,0.801104972376,0.796129032258,1376.78648623
