iteration,MSE_train,MSE_validation,MSE_test,acc_train,acc_validation,acc_test,seconds_elapsed
0,0.260086426739,0.25489152427,0.251716685934,0.143153526971,0.160220994475,0.163870967742,0.004605384
10,0.259038686098,0.253393518108,0.250877685501,0.147302904564,0.160220994475,0.165161290323,0.037368216
20,0.257199129824,0.249706664669,0.248830734188,0.156293222683,0.168508287293,0.171612903226,0.060475132
30,0.248239817199,0.242459158395,0.2413470903,0.145228215768,0.151933701657,0.170322580645,0.083013936
40,0.245749759066,0.239882482762,0.238851108537,0.152835408022,0.157458563536,0.176774193548,0.105514805
50,0.242536105494,0.238430708531,0.236409888343,0.145228215768,0.14364640884,0.170322580645,0.126924805
60,0.238408771592,0.235371870562,0.233782879558,0.135546334716,0.124309392265,0.13935483871,0.147968741
70,0.237188247788,0.234620224386,0.232494191975,0.13347164592,0.124309392265,0.13935483871,0.168986277
80,0.233402438469,0.229549649337,0.228166448883,0.132088520055,0.121546961326,0.147096774194,0.196049735
90,0.22928325297,0.224003873165,0.224446683879,0.118948824343,0.140883977901,0.143225806452,0.216785143
100,0.228536771165,0.223224387,0.223905349874,0.118948824343,0.14364640884,0.144516129032,0.237435694
110,0.220491375065,0.216287821119,0.217378590421,0.114107883817,0.138121546961,0.125161290323,0.255739558
120,0.215147148968,0.21198196872,0.212340218568,0.126556016598,0.138121546961,0.136774193548,0.27402372
130,0.213933595889,0.210499362623,0.211464298328,0.123098201936,0.129834254144,0.136774193548,0.292279032
140,0.219564890308,0.216639818701,0.216743159934,0.123789764869,0.113259668508,0.145806451613,0.310506381
150,0.197412441531,0.194135875287,0.194496263711,0.176348547718,0.171270718232,0.184516129032,0.328757785
160,0.194469791068,0.192982902049,0.193019579502,0.160442600277,0.14364640884,0.176774193548,0.348551985
170,0.192903755475,0.192250710699,0.191639492125,0.152835408022,0.135359116022,0.178064516129,0.366779191
180,0.186059964265,0.182517932339,0.181277041333,0.300138312586,0.276243093923,0.336774193548,0.385054409
190,0.182039831976,0.181160389553,0.177894693761,0.308437067773,0.281767955801,0.325161290323,0.403213711
200,0.169635900563,0.171178319589,0.166553106074,0.331258644537,0.314917127072,0.334193548387,0.421383417
